system:index,anomaly_mm,baseline_mean_mm,pct_of_normal,season,seasonal_rain_mm,year,.geo
0,-17.740162723395333,45.58638240458575,61.08451298910096,Deyr_OND,27.846219681190416,1981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,43.2351317723526,45.58638240458575,194.84220833457357,Deyr_OND,88.82151417693835,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-19.750829966142465,45.58638240458575,56.67383783417822,Deyr_OND,25.835552438443283,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-28.016488439100673,45.58638240458575,38.54197907074468,Deyr_OND,17.569893965485075,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-25.172091740019066,45.58638240458575,44.78155446375827,Deyr_OND,20.414290664566682,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-28.508675048872476,45.58638240458575,37.46230004422405,Deyr_OND,17.077707355713272,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,16.976729414977214,45.58638240458575,137.24079104217194,Deyr_OND,62.56311181956296,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-24.328296254086567,45.58638240458575,46.63253592230809,Deyr_OND,21.25808615049918,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.464889849877352,45.58638240458575,107.60071246524005,Deyr_OND,49.0512722544631,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-16.980641658069928,45.58638240458575,62.75062691449329,Deyr_OND,28.60574074651582,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-21.3578884451266,45.58638240458575,53.14853401708377,Deyr_OND,24.228493959459147,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-1.8781110152729852,45.58638240458575,95.88010516253631,Deyr_OND,43.70827138931276,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,15.802742205425517,45.58638240458575,134.66548862152274,Deyr_OND,61.389124610011265,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-1.0398547481064142,45.58638240458575,97.7189355828292,Deyr_OND,44.546527656479334,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-7.885013743943787,45.58638240458575,82.70313780557723,Deyr_OND,37.70136866064196,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-21.96568557721718,45.58638240458575,51.81524740816559,Deyr_OND,23.62069682736857,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,133.19275616184768,45.58638240458575,392.17663068708254,Deyr_OND,178.77913856643343,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.001066266030492,45.58638240458575,108.77688918265207,Deyr_OND,49.58744867061624,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,16.634020205227166,45.58638240458575,136.48901125252235,Deyr_OND,62.220402609812915,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,25.723678850024214,45.58638240458575,156.4284277302876,Deyr_OND,71.31006125460996,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
